epoch,step,mode,vision_mse,vision_lpips,action_mse
0,0,both,0.063586,0.000000,0.013604
0,0,action_drop,0.063579,0.000000,0.013604
0,0,vision_drop,0.063586,0.000000,0.013604
0,0,both,0.065994,0.000000,0.018699
0,0,action_drop,0.065999,0.000000,0.018698
0,0,vision_drop,0.065993,0.000000,0.018699
0,0,both,0.063608,0.000000,0.020027
0,0,action_drop,0.063611,0.000000,0.020027
0,0,vision_drop,0.063606,0.000000,0.020027
0,0,both,0.064328,0.000000,0.015593
0,0,action_drop,0.064337,0.000000,0.015592
0,0,vision_drop,0.064328,0.000000,0.015593
0,0,both,0.062761,0.000000,0.010808
0,0,action_drop,0.062766,0.000000,0.010808
0,0,vision_drop,0.062760,0.000000,0.010808
0,0,both,0.064074,0.000000,0.014445
0,0,action_drop,0.064081,0.000000,0.014445
0,0,vision_drop,0.064072,0.000000,0.014445
0,0,both,0.060324,0.000000,0.016943
0,0,action_drop,0.060335,0.000000,0.016942
0,0,vision_drop,0.060323,0.000000,0.016943
0,0,both,0.064217,0.000000,0.014763
0,0,action_drop,0.064229,0.000000,0.014762
0,0,vision_drop,0.064215,0.000000,0.014763
0,0,both,0.065715,0.000000,0.016024
0,0,action_drop,0.065720,0.000000,0.016024
0,0,vision_drop,0.065712,0.000000,0.016024
0,5000,both,0.068660,0.000000,0.004553
0,5000,action_drop,0.067492,0.000000,0.042456
0,5000,vision_drop,0.069130,0.000000,0.000301
0,5000,both,0.059878,0.000000,0.003684
0,5000,action_drop,0.058756,0.000000,0.039377
0,5000,vision_drop,0.060365,0.000000,0.000364
0,5000,both,0.058554,0.000000,0.004506
0,5000,action_drop,0.057345,0.000000,0.039798
0,5000,vision_drop,0.058981,0.000000,0.000428
0,5000,both,0.064275,0.000000,0.004014
0,5000,action_drop,0.063091,0.000000,0.038276
0,5000,vision_drop,0.064714,0.000000,0.000242
0,5000,both,0.067279,0.000000,0.004059
0,5000,action_drop,0.066197,0.000000,0.036509
0,5000,vision_drop,0.067752,0.000000,0.000343
